Veículo,Link da matéria,Título da matéria,Subtítulo,Data (em ISO)
UOL,https://noticias.uol.com.br/cotidiano/ultimas-noticias/2025/06/28/egidio-arguello-preso-sp-rota.htm,Advogado condenado por atuar contra operação anticorrupção é preso em SP,,2025-06-29 02:15:24+00:00
UOL,https://noticias.uol.com.br/ultimas-noticias/afp/2025/06/28/trump-diz-que-nao-tolerara-que-continue-o-julgamento-por-corrupcao-contra-netanyahu.htm,Trump diz que 'não tolerará' que continue o julgamento por corrupção contra Netanyahu,,2025-06-29 01:04:39+00:00
UOL,https://noticias.uol.com.br/ultimas-noticias/afp/2025/06/28/chelsea-vence-benfica-4-1-na-prorrogacao-e-vai-enfrentar-palmeiras-nas-quartas-da-copa-de-clubes-mavraaaam.htm,Chelsea vence Benfica (4-1) na prorrogação e vai enfrentar Palmeiras nas quartas da Copa de Clubes,,2025-06-29 01:00:28+00:00
UOL,https://noticias.uol.com.br/cotidiano/ultimas-noticias/2025/06/28/filho-esfaqueia-pai-para-defender-mae-em-sc.htm,Filho esfaqueia o pai para defender mãe grávida de agressões em SC,,2025-06-29 00:36:13+00:00
UOL,https://noticias.uol.com.br/ultimas-noticias/afp/2025/06/28/ataques-israelenses-deixam-tres-mortos-no-sul-do-libano.htm,Ataques israelenses deixam três mortos no sul do Líbano,,2025-06-29 00:24:42+00:00
UOL,https://noticias.uol.com.br/ultimas-noticias/2025/06/28/lotofacil-concurso-3429-sorteio-28-de-junho.htm,Apostas da BA e GO cravam Lotofácil e levam R$ 863 mil; confira dezenas,,2025-06-29 00:21:34+00:00
UOL,https://noticias.uol.com.br/ultimas-noticias/2025/06/28/timemania-concurso-2261-sorteio-28-de-junho.htm,"Prêmio da Timemania acumula e vai a R$ 6,5 milhões; veja números e time",,2025-06-29 00:17:32+00:00
UOL,https://noticias.uol.com.br/ultimas-noticias/2025/06/28/-milionaria-concurso-263-sorteio-28-de-junho.htm,+ Milionária: Prêmio acumula e vai a R$ 120 milhões; veja números e trevos,,2025-06-29 00:13:52+00:00
UOL,https://noticias.uol.com.br/ultimas-noticias/2025/06/28/mega-sena-concurso-2881-sorteio-28-de-junho.htm,Mega-Sena acumula e prêmio sobe para R$ 52 milhões; confira dezenas,,2025-06-29 00:10:49+00:00
UOL,https://noticias.uol.com.br/internacional/ultimas-noticias/2025/06/28/lider-iraniano-dado-como-morto-por-israel-aparece-vivo-em-evento-em-teera.htm,Líder iraniano dado como morto por Israel aparece vivo em imagens de Teerã,,2025-06-28 23:44:51+00:00
